id,title,label,,,,,,,
341,A Hybrid Approach to Cloud Data Security Using ChaCha20 and ECDH for Secure Encryption and Key Exchange,Computer Science / Cybersecurity / Cloud Data Security,,,,,,,
342,Optimizing Time Consumption for Smartphone-based Distributed Parallel Processing System,Computer Science / Distributed Systems / Parallel Processing,,,,,,,
343,Single-threading Based Distributed-multiprocessor-machines Affecting by Distributed-parallel-computing Technology,Computer Science / Distributed Systems / Multiprocessor Computing,,,,,,,
344,"Web phishing detection using web crawling, cloud infrastructure and deep learning framework",Computer Science / Cybersecurity / Phishing Detection,,,,,,,
345,Learning Management System (LMS) Performance Analysis and Evaluation for Some Kurdistan Region Universities,Education / Educational Technology / LMS Performance Evaluation,,,,,,,
346,Design and Analysis of Proposed Smartphone-based Distributed Parallel Processing System,Computer Science / Distributed Systems / Smartphone-based Parallel Processing,,,,,,,
347,Optimal deep belief network enabled vulnerability detection on smart environment,Computer Science / Artificial Intelligence / Vulnerability Detection,,,,,,,
348,Leveraging high resolution remote sensing images for vehicle classification using sea lion optimization with deep learning model,Computer Science / Artificial Intelligence / Remote Sensing,,,,,,,
349,Web Technology Grounded Effects of Task Scheduling in Distributed and Cloud Systems,Computer Science / Distributed Systems / Task Scheduling,,,,,,,
350,Evaluation of hybrid soft computing model’s performance in estimating wave height,Computer Science / Artificial Intelligence / Soft Computing,,,,,,,
351,Password-sniffing acoustic keylogger using machine learning,Computer Science / Cybersecurity / Acoustic Keylogging,,,,,,,
352,"Distributed, cloud, and fog computing motivations on improving security and privacy of Internet of Things",Computer Science / Internet of Things / IoT Security,,,,,,,
353,Privacy Preserving Blockchain with Optimal Deep Learning Model for Smart Cities.,Computer Science / Artificial Intelligence / Smart City Privacy,,,,,,,
354,Distributed cloud computing and mobile cloud computing: A review,Computer Science / Cloud Computing / Mobile Cloud Computing,,,,,,,
355,Clustering document based on semantic similarity using graph base spectral algorithm,Computer Science / Artificial Intelligence / Semantic Clustering,,,,,,,
356,Trajectory tracking of differential drive mobile robots using fractional-order proportional-integral-derivative controller design tuned by an enhanced fruit fly optimization,Engineering / Artificial Intelligence / Robot Control Systems,,,,,,,
357,A review on automation artificial neural networks based on evolutionary algorithms,Computer Science / Artificial Intelligence / Neural Network Automation,,,,,,,
358,Cloud-based Parallel Computing System Via Single-Client Multi-Hash Single-Server Multi-Thread,Computer Science / Distributed Systems  / Cloud Computing,,,,,,,
359,Ultra-Dense Request Impact on Cluster-Based Web Server Performance,Computer Science / Web Technology / Server Performance,,,,,,,
360,A Comprehensive Study of Malware Detection in Android Operating Systems,Computer Science / Cybersecurity / Android Malware,,,,,,,
361,Study for food recognition system using deep learning,Computer Science / Artificial Intelligence / Image Recognition,,,,,,,
362,Secure data transfer over internet using image steganography,Computer Science / Cybersecurity / Steganography,,,,,,,
363,SQL injection attacks prevention system technology,Computer Science / Cybersecurity / SQL Injection Prevention,,,,,,,
364,Deep learning approaches for intrusion detection,Computer Science / Artificial Intelligence / Intrusion Detection,,,,,,,
365,Efficiency of semantic web implementation on cloud computing: A review,Computer Science / Web Technology / Semantic Web,,,,,,,
366,Review on natural language processing based on different techniques,Computer Science / Natural Language Processing / NLP Techniques,,,,,,,
367,A survey of data mining implementation in smart city applications,Computer Science / Data Science / Smart Cities,,,,,,,
368,Distributed and parallel computing system using single-client multi-hash multi-server multi-thread,Computer Science / Distributed Systems / Parallel Computing,,,,,,,
369,A survey of optical fiber communications: challenges and processing time influences,Computer Science / Computer Networks / Optical fiber design,,,,,,,
370,Task scheduling algorithms in cloud computing: A review,Computer Science / Cloud Computing / Task Scheduling Algorithms,,,,,,,
371,Efficiency of malware detection in android system: A survey,Computer Science / Cybersecurity / Android Malware Detection,,,,,,,
372,"A state of art survey of nano technology: implementation, challenges, and future trends", Materials Science / Nanotechnology / Implementation Challenges,,,,,,,
373,Reliable communications for vehicular networks,Computer Science / Computer Networks / Vehicular Network Communication,,,,,,,
374,Paralinguistic speech processing: An overview,Computer Science / Artificial Intelligence / Speech Processing,,,,,,,
375,Web server performance improvement using dynamic load balancing techniques: A review,Computer Science / Web Technology / Load Balancing,,,,,,,
376,A state of art for survey of combined iris and fingerprint recognition systems,Computer Science / Artificial Intelligence / Biometric Recognition,,,,,,,
377,Design And Implement Network Authentication Using Active Directory And Network Policy To Assign VLANs,Computer Science / Cybersecurity / Network Authentication,,,,,,,
378,Novel Remote Parallel Processing Code-Breaker System via Cloud Computing,Computer Science / Distributed Systems / Parallel Processing,,,,,,,
379,Computer-aided diagnosis system combining FCN and Bi-LSTM model for efficient breast cancer detection from histopathological images,Computer Science / Artificial Intelligence / Breast Cancer Detection,,,,,,,
380,Design and analysis of proposed remote controlling distributed parallel computing system over the cloud,Computer Science / Distributed Systems / Remote Distributed Systems,,,,,,,
381,Distributed cloud computing and distributed parallel computing: A review,Computer Science / Distributed Systems / Cloud Parallel Computing,,,,,,,
382,"Client/Servers clustering effects on CPU execution-time, CPU usage and CPU Idle depending on activities of Parallel-Processing-Technique operations", Computer Science / Distributed Systems / Server Clustering,,,,,,,
383,Auto-Generation of control code from requirements,Computer Science / Software Engineering / Code Generation,,,,,,,
384,Distributed: Cloud Computing and Parallel Computing: A Review,Computer Science / Distributed Systems / Cloud and Parallel Computing,,,,,,,
385,"A Review on Upshots of Cloud Computing and Web Technology on the Future Green Transformation: AI, IoT, and Secure Enterprise Systems in Fostering Sustainable Work Practices",Computer Science / Distributed Systems / Future Green Transformation,,,,,,,
386,INTEGRATION OF CLOUD AND PARALLEL COMPUTATIONS WITH EFFICIENCY OF DATA MINING AND INTERNET OF THINGS BASED ON PRINCIPLES OF WEB TECHNOLOGY AND DISTRIBUTED SYSTEMS,Computer Science / Distributed Systems / Cloud-IoT Integration,,,,,,,
387,"PRIVACY PRESERVATION IN: INFORMATION, WEB TECHNOLOGY, SEMANTIC WEB, PARALLEL AND CLOUD COMPUTING",Computer Science / Cybersecurity / Privacy Preservation,,,,,,,
388,WEB TECHNOLOGY DEVELOPMENT AND DATA-INTENSIVE INFLUENCES ON SEMANTIC INFORMATION RETRIEVING BASED ON PARALLEL AND CLOUD COMPUTING,Computer Science / Distributed Systems / Semantic Information Retrieval,,,,,,,
389,Enhancing OS Memory Management Performance: A,Computer Science / Software Engineering / OS Memory Management,,,,,,,
390,GPU Concepts and Graph Application Challenges: A,Computer Science / Hardware Engineering / GPU Applications,,,,,,,
391,Detecting denial of service attacks in internet of things using software-defined networking and ensemble learning,Computer Science / Cybersecurity / Denial of Service Detection in IoT,,,,,,,
392,Development of Machine Learning-based Methods to Reduce the Uncertainty of Tunneling Projects.,Engineering / Civil Engineering / Tunnel Risk Prediction Using Machine Learning,,,,,,,
393,Detecting Denial of Service (DoS) attacks in Internet of Things (IoT) using Software Defined Networking (SDN) and ensemble learning,Computer Science / Cybersecurity / DoS Attack Detection in IoT,,,,,,,
394,Diabetes mortality and trends before 25 years of age: an analysis of the Global Burden of Disease Study 2019,Health Sciences / Public Health / Diabetes Mortality Analysis,,,,,,,
395,"Cancer incidence, mortality, years of life lost, years lived with disability, and disability-adjusted life years for 29 cancer groups from 2010 to 2019: a systematic analysis …", Health Sciences / Public Health / Global Cancer Burden,,,,,,,
396,"Global, regional, and national sex differences in the global burden of tuberculosis by HIV status, 1990–2019: results from the Global Burden of Disease Study 2019", Health Sciences / Public Health / Tuberculosis and HIV Burden,,,,,,,
397,The global burden of adolescent and young adult cancer in 2019: a systematic analysis for the Global Burden of Disease Study 2019,Health Sciences / Public Health / Youth Cancer Burden,,,,,,,
