id,title,User,Publication path,Authors,Publisher details
341,A Hybrid Approach to Cloud Data Security Using ChaCha20 and ECDH for Secure Encryption and Key Exchange,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tsNBtH0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tsNBtH0AAAAJ:HDshCWvjkbEC,"RK Muhammed, ZN Rashid, SJ Saydah","Kurdistan Journal of Applied Research 10 (1), 66-82"
342,Optimizing Time Consumption for Smartphone-based Distributed Parallel Processing System,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tsNBtH0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tsNBtH0AAAAJ:dhFuZR0502QC,"NT Muhammed, ZN Rashid, SRM Zeebaree, JA Rasool, RR Zebari, ...","Passer Journal of Basic and Applied Sciences 6 (Special Issue), 254-265"
343,Single-threading Based Distributed-multiprocessor-machines Affecting by Distributed-parallel-computing Technology,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tsNBtH0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tsNBtH0AAAAJ:QIV2ME_5wuYC,"DM ABDULQADER, SRM ZEEBAREE, RR ZEBARI, SALI SALEH, ...","Journal of Duhok University 26 (2), 416-426"
344,"Web phishing detection using web crawling, cloud infrastructure and deep learning framework",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tsNBtH0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tsNBtH0AAAAJ:Wp0gIr-vW9MC,"LM Abdulrahman, SH Ahmed, ZN Rashid, YS Jghef, TM Ghazi, UH Jader","Journal of Applied Science and Technology Trends 4 (01), 54-71"
345,Learning Management System (LMS) Performance Analysis and Evaluation for Some Kurdistan Region Universities,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tsNBtH0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tsNBtH0AAAAJ:qUcmZB5y_30C,"UH Jader, MM Delzy, SRM Zeebaree, RR Zebari, ZN Rashid, TMG Sami",2023 9th International Engineering Conference on Sustainable Technology and …
346,Design and Analysis of Proposed Smartphone-based Distributed Parallel Processing System,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tsNBtH0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tsNBtH0AAAAJ:L8Ckcad2t8MC,"NT Muhammed, ZN Rashid, SRM Zeebaree, YS Jghef, RK Ibrahim, ...",2023 9th International Engineering Conference on Sustainable Technology and …
347,Optimal deep belief network enabled vulnerability detection on smart environment,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tsNBtH0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tsNBtH0AAAAJ:IWHjjKOFINEC,"BK Hussan, ZN Rashid, SR Zeebaree, RR Zebari","J. Smart Internet Things 2023, 146-162"
348,Leveraging high resolution remote sensing images for vehicle classification using sea lion optimization with deep learning model,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tsNBtH0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tsNBtH0AAAAJ:ZeXyd9-uunAC,"ZS Ageed, HM Yasin, ZN Rashid, SR Zeebaree","Journal of Smart Internet of Things 2022 (1), 97-113"
349,Web Technology Grounded Effects of Task Scheduling in Distributed and Cloud Systems,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tsNBtH0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tsNBtH0AAAAJ:7PzlFSSx8tAC,"HR Ismael, LM Abdulrahman, ZN Rashid, R Qashi","Journal of Smart Internet of Things 2022 (1), 196-218"
350,Evaluation of hybrid soft computing model’s performance in estimating wave height,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tsNBtH0AAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tsNBtH0AAAAJ:9ZlFYXVOiuMC,"TC Chen, Z Najat Rashid, B Theruvil Sayed, A Sari, ...","Advances in Civil Engineering 2023 (1), 8272566"
